POS,ARCHETYPE,PRIMARY,SECONDARY,KEY BADGES,SECONDARY BADGES,,Layups,Dunks,Mid-Range,3PT,Ball Handling,Passing,Post Offense,Rebounding,Steals,Blocks,Vertical,Lat Quickness,Speed,Accel,Strength,Stamina
1,Post Scoring Shot Creator,Shot Creating,Post Scoring,"HOF Tear Dropper,  GOLD Tireless Scorer, GOLD Mid Range Deadeye, GOLD Difficult Shots, GOLD Up & Under Specialist","Gold Ankle Breaker, Gold Relentless Finisher, Silver Acrobat, Silver Post Spin Technician, Silver Drop Stepper, Silver Bruiser, Bronze Dimer, Bronze One Man Fast Break, Bronze Pick & Roll Maestro, Bronze Corner Specialist, Bronze Defensive Stopper, Bronze Lob City Passer, Bronze Flashy Passer, Bronze Charge Card, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,17-22,13-17,22-23,12-15,14-19,9-14,17-19,10-13,9-14,9-13,13-17,12-14,14-18,15-17,15-18,22-25
1,Rebounding Slasher,Driving & Finishing,Rebounding,"HOF Posterizer, HOF One Man Fast Break, GOLD Relentless Finisher, GOLD Acrobat, GOLD Tear Dropper","Silver Putback King, Silver Ankle Breaker, Silver Lob City Finisher, Silver Hustle Rebounder, Silver Break Starter, Silver Bruiser, Bronze Dimer, Bronze Chase Down Artist, Bronze Tireless Scorer, Bronze Pick & Roll Maestro, Bronze Defensive Stopper, Bronze Lob City Passer, Bronze Flashy Passer, Bronze Pick Dodger, Bronze Charge Card, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,22-23,22-23,6-9,5-6,12-14,8-10,8-9,15-17,12-15,9-13,23-25,13-15,20-23,20-21,15-20,22-25
1,Shot Creating Defender,Defending,Shot Creating,"GOLD Defensive Stopper, GOLD Charge Card, GOLD Pick Pocket, GOLD Pick Dodger, GOLD Bruiser","Silver Acrobat, Silver Chase Down Artist, Silver One Man Fast Break, Silver Mid Range Deadeye, Silver Tear Dropper, Silver Tireless Scorer, Silver Difficult Shots, Silver Posterizer, Bronze Dimer, Bronze Ankle Breaker, Bronze Lob City Finisher, Bronze Relentless Finisher, Bronze Lob City Passer, Bronze Up & Under Specialist, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,8-12,11-16,12-14,6-8,8-12,7-10,7-9,11-14,21-23,21-22,20-23,20-23,20-23,21-23,18-23,22-25
1,Playmaking Defender,Defending,Passing & Ball Handling,"GOLD Defensive Stopper, GOLD Charge Card, GOLD Pick Pocket, GOLD Pick Dodger, GOLD Bruiser","Silver Dimer, Silver One Man Fast Break, Silver Acrobat, Silver Lob City Passer, Silver Chase Down Artist, Silver Ankle Breaker, Silver Pick & Roll Maestro, Silver Flashy Passer, Silver Posterizer, Bronze Break Starter, Bronze Lob City Finisher, Bronze Tireless Scorer, Bronze Difficult shots, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,7-10,10-14,6-9,6-8,13-15,14-15,6-7,10-13,21-22,21-22,19-23,20-23,22-25,22-25,18-22,22-25
1,Playmaking Slasher,Driving & Finishing,Passing & Ball Handling,"HOF One Man Fast Break, HOF Acrobat, GOLD Relentless Finisher, GOLD Posterizer, GOLD Ankle Breaker","Silver Tear Dropper, Silver Dimer, Silver Pick & Roll Maestro, Silver Lob City Passer, Silver Flashy Passer, Silver Tireless Scorer, Bronze Lob City Finisher, Bronze Putback King, Bronze Break Starter, Bronze Chase Down Artist, Bronze Defensive Stopper, Bronze Difficult Shots, Bronze Charge Card, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,22-23,21-21,8-11,7-8,18-20,15-16,7-8,9-12,11-14,8-11,20-23,14-16,22-25,22-25,11-14,22-25
1,Post Scoring Playmaker,Passing & Ball Handling,Post Scoring,"GOLD Dimer, GOLD Pick & Roll Maestro, GOLD Lob City Passer, GOLD Flashy Passer, GOLD Ankle Breaker","Silver Break Starter, Silver One Man Fast Break, Silver Acrobat, Silver Post Spin Technician, Silver Drop Stepper, Silver Bruiser, Silver Up & Under Specialist, Silver Relentless Finisher, Silver Tireless Scorer, Silver Difficult Shots, Bronze Defensive Stopper, Bronze Tear Dropper, Bronze Mid Range Deadeye, Bronze Charge Card, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,15-20,7-12,11-16,11-14,21-22,21-22,14-15,9-11,9-13,6-9,9-14,12-15,19-22,19-22,14-18,22-25
1,Slashing Playmaker,Passing & Ball Handling,Driving & Finishing,"HOF Ankle Breaker, GOLD Dimer, GOLD Pick & Roll Maestro, GOLD Lob City Passer, GOLD Flashy Passer","Gold Break Starter, Gold One Man Fast Break, Silver Acrobat, Silver Tireless Scorer, Silver Relentless Finisher, Silver Posterizer, Silver Tear Dropper, Bronze Difficult Shots, Bronze Defensive Stopper, Bronze Lob City Finisher, Bronze Putback King, Bronze Charge Card, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,17-20,13-15,10-15,11-14,23-23,21-22,6-8,7-9,10-14,6-9,14-18,13-16,22-25,22-25,9-14,22-25
1,Post Scoring Slasher,Driving & Finishing,Post Scoring,"HOF Relentless Finisher, HOF Acrobat, GOLD Posterizer, GOLD One Man Fast Break, GOLD Tear Dropper","Silver Post Spin Technician, Silver Ankle Breaker, Silver Drop Stepper, Silver Bruiser, Silver Up & Under Specialist, Bronze Dimer, Bronze Lob City Finisher, Bronze Putback King, Bronze Tireless Scorer, Bronze Pick & Roll Maestro, Bronze Chase Down Artist, Bronze Defensive Stopper, Bronze Lob City Passer, Bronze Flashy Passer, Bronze Charge Card, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,23-25,23-23,8-11,5-6,12-15,8-10,14-15,10-15,11-14,9-12,20-21,13-14,19-21,19-22,14-17,22-25
1,Slashing Defender,Defending,Driving & Finishing,"GOLD Defensive Stopper, GOLD Charge Card, GOLD Pick Pocket, GOLD Pick Dodger, GOLD Posterizer","Gold Acrobat, Gold One Man Fast Break, Gold Bruiser, Silver Chase Down Artist, Silver Relentless Finisher, Silver Lob City Finisher, Bronze Dimer, Bronze Tear Dropper, Bronze Putback King, Bronze Ankle Breaker, Bronze Lob City Passer, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,14-15,17-19,5-8,4-5,7-10,7-9,6-7,11-15,22-23,21-23,22-25,20-23,22-25,22-25,18-23,22-25
1,Shot Creating Playmaker,Passing & Ball Handling,Shot Creating,"HOF Ankle Breaker, GOLD Dimer, GOLD Pick & Roll Maestro, GOLD Lob City Passer, GOLD Flashy Passer","Gold Tireless Scorer, Gold Difficult Shots, Gold Break Starter, Silver One Man Fast Break, Silver Acrobat, Silver Mid Range Deadeye, Silver Tear Dropper, Bronze Relentless Finisher, Bronze Defensive Stopper, Bronze Corner Specialist, Bronze Up & Under Specialist, Bronze Charge Card, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,13-18,7-11,17-20,13-16,23-24,21-23,7-10,7-9,9-13,6-8,10-15,13-16,20-23,21-23,9-13,22-25
1,Sharpshooting Slasher,Driving & Finishing,3pt Shooting,"GOLD Posterizer, GOLD Relentless Finisher, GOLD Acrobat, GOLD One Man Fast Break, GOLD Tear Dropper","Silver Ankle Breaker, Silver Tireless Scorer, Silver Catch & Shoot, Silver Deep Range Deadeye, Silver Limitless Range, Silver Corner Specialist, Bronze Dimer, Bronze Lob City Finisher, Bronze Putback King, Bronze Pick & Roll Maestro, Bronze Chase Down Artist, Bronze Flashy Passer, Bronze Difficult shots, Bronze Pick & Popper, Bronze Lob City Passer, Bronze Mid Range Deadeye, Bronze Defensive Stopper, Bronze Charge Card, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,22-22,20-20,12-14,13-15,13-15,9-11,7-8,9-12,11-14,8-11,20-23,13-15,19-22,19-22,11-14,22-25
1,Post Scoring Defender,Defending,Post Scoring,"HOF Bruiser, GOLD Defensive Stoper, GOLD Charge Card, GOLD Pick Pocket, GOLD Pick Dodger","Silver Chase Down Artist, Silver Acrobat, Silver Posterizer, Silver Post Spin Technician, Silver Drop Stepper, Silver Up & Under Specialist, Bronze Dimer, Bronze One Man Fast Break, Bronze Relentless Finisher, Bronze Lob City Finisher, Bronze Brick Wall, Bronze Tear Dropper, Bronze Lob City Passer, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,10-14,12-16,6-9,4-5,5-9,7-10,14-14,12-16,21-22,22-23,19-22,19-22,19-22,19-22,21-25,22-25
1,Pure Defender,Defending,Defending,"HOF Defensive Stopper, HOF Pick Pocket, HOF Pick Dodger, HOF Charge Card, GOLD Bruiser","Silver Chase Down Artist, Silver Posterizer, Silver Acrobat, Silver One Man Fast Break, Bronze Dimer, Bronze Lob City Finisher, Bronze Brick Wall, Bronze Lob City Passer, Bronze Putback King, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,6-8,11-15,4-7,4-5,5-7,7-9,6-7,11-15,25-25,25-25,22-25,22-25,22-25,22-25,20-25,22-25
1,Two Way Playmaker,Passing & Ball Handling,Defending,"GOLD Dimer, GOLD Pick & Roll Maestro, GOLD Lob City Passer, GOLD Flashy Passer, GOLD Ankle Breaker","Gold Break Starter, Silver One Man Fast Break, Silver Acrobat, Silver Tireless Scorer, Silver Defensive Stopper, Silver Charge Card, Silver Pick Pocket, Bronze Pick Dodger, Bronze Difficult Shots, Bronze Bruiser, Bronze Chase Down Artist, Bronze Posterizer, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,11-15,6-10,9-14,11-14,21-21,21-21,6-8,8-10,15-18,13-14,14-18,16-20,22-25,22-25,13-18,22-25
1,Sharpshooting Defender,Defending,3pt Shooting,"GOLD Charge Card, GOLD Defensive Stopper, GOLD Pick Pocket, GOLD Pick Dodger, GOLD Bruiser","Silver Chase Down Artist, Silver Catch & Shoot, Silver Deep Range Deadeye, Silver Limitless Range, Silver Corner Specialist, Silver Posterizer, Bronze Dimer, Bronze Acrobat, Bronze One Man Fast Break, Bronze Tireless Scorer, Bronze Lob City finisher, Bronze Difficult Shots, Bronze Pick & Popper, Bronze Mid Range Deadeye, Bronze Lob City Passer, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,7-9,9-13,10-13,12-13,6-9,8-10,6-8,10-14,21-22,21-21,19-23,20-23,19-22,19-22,18-22,22-25
1,Rebounding Playmaker,Passing & Ball Handling,Rebounding,"GOLD Dimer, GOLD Break Starter, GOLD Lob City Passer, GOLD Pick & Roll Maestro, GOLD Ankle Breaker","Gold Flashy Passer, Gold Hustle Rebounder, Silver One Man Fast Break, Silver Bruiser, Silver Acrobat, Bronze Tireless Scorer, Bronze Difficult Shots, Bronze Defensive Stopper, Bronze Putback King, Bronze Relentless Finisher, Bronze Posterizer, Bronze Tear Dropper, Bronze Lob City Finishe, Bronze Charge Card, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,12-18,7-11,9-14,11-14,21-21,21-22,7-9,14-15,9-13,6-9,14-18,12-15,20-23,20-22,14-18,22-25
1,Rebounding Defender,Defending,Rebounding,"HOF Bruiser, GOLD Defensive Stoper, GOLD Charge Card, GOLD Pick Pocket, GOLD Pick Dodger","Silver Chase Down Artist, Silver Posterizer, Silver One Man Fast Break, Silver Hustle Rebounder, Silver Break Starter, Silver Lob City Finisher, Bronze Dimer, Bronze Acrobat, Bronze Putback King, Bronze Brick Wall, Bronze Lob City Passer, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,7-10,11-16,4-7,4-5,5-8,7-9,7-9,17-19,22-23,22-23,22-25,19-22,20-23,20-22,21-25,22-25
1,Sharpshooting Playmaker,Passing & Ball Handling,3pt Shooting,"GOLD Dimer,  GOLD Pick & Roll Maestro, GOLD Flashy Passer, GOLD Lob City Passer, GOLD Ankle Breaker","Silver Break Starter, Silver Tireless Scorer, Silver Difficult Shots, Silver One Man Fast Break, Silver Corner Specialist, Silver Catch & Shoot, Silver Deep Range Deadeye, Silver Limitless Range, Silver Acrobat, Bronze Mid Range Deadeye, Bronze Pick & Popper, Bronze Tear Dropper, Bronze Defensive Stopper, Bronze Charge Card, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,12-16,4-8,14-19,18-20,21-22,22-23,6-8,7-8,9-13,5-7,9-14,13-16,19-22,19-22,9-13,22-25
1,Two Way Sharpshooter,3pt Shooting,Defending,"GOLD Catch & Shoot, GOLD Deep Range Deadeye, GOLD Limitless Range, GOLD Corner Specialist, SILVER Tireless Scorer","Silver Charge Card, Silver Difficult Shots, Silver Pick & Popper, Silver Defensive Stopper, Silver Pick Pocket, Silver Pick Dodger, Silver Mid Range Deadeye, Bronze Dimer, Bronze Bruiser, Bronze Tear Dropper, Bronze Chase Down Artist, Bronze Posterize, Bronze Pick & Roll Maestro, Bronze Flashy Passer, Bronze Acrobat, Bronze One Man Fast Break, Bronze Lob City Passer, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,9-10,4-7,17-19,20-21,8-12,10-13,8-9,8-10,15-17,13-14,13-18,15-18,14-17,14-17,13-18,22-25
1,Slashing Sharpshooter,3pt Shooting,Driving & Finishing,"GOLD Catch & Shoot, GOLD Deep Range Deadeye, GOLD Limitless Range, GOLD Corner Specialist, SILVER Tireless Scorer","Silver Tear Dropper, Silver Difficult Shots, Silver Pick & Popper, Silver Posterizer, Silver Relentless Finisher, Silver Acrobat, Silver One Man Fast Break, Silver Mid Range Deadeye, Bronze Dimer, Bronze Pick & Roll Maestro, Bronze Flashy Passer, Bronze Ankle Breaker, Bronze Lob City Passer, Bronze Lob City Finishe, Bronze Putback King, Bronze Charge Card, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,16-17,11-12,18-20,21-21,10-14,10-13,8-10,7-10,9-13,6-9,14-18,12-15,14-17,14-17,9-14,22-25
1,Post Scoring Sharpshooter,3pt Shooting,Post Scoring,"GOLD Catch & Shoot, GOLD Deep Range Deadeye, GOLD Limitless Range, GOLD Corner Specialist, SILVER Tireless Scorer","Silver Difficult Shots, Silver Pick & Popper, Silver Mid Range Deadeye, Silver Post Spin Technician, Silver Drop Stepper, Silver Bruiser, Silver Up & Under Specialist, Silver Tear Dropper, Bronze Dimer, Bronze Relentless Finisher, Bronze Pick & Roll Maestro, Bronze Flashy Passer, Bronze Acrobat , Bronze Lob City Passer, Bronze Charge Card, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,13-16,5-8,19-21,21-21,9-13,11-14,15-16,9-12,8-12,6-9,8-14,10-13,9-11,9-11,14-18,22-25
1,Playmaking Sharpshooter,3pt Shooting,Passing & Ball Handling,"GOLD Catch & Shoot, GOLD Deep Range Deadeye, GOLD Limitless Range, GOLD Corner Specialist, GOLD Tireless Scorer","Silver Dimer, Silver Difficult Shots, Silver Pick & Roll Maestro, Silver Flashy Passer, Silver Lob City Passer, Silver Pick & Popper, Silver Mid Range Deadeye, Silver Ankle Breaker, Bronze Tear Dropper, Bronze Break Starter, Bronze One Man Fast Break, Bronze Acrobat, Bronze Charge Card, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,10-13,3-5,19-21,22-23,15-18,17-18,8-10,7-9,8-12,5-7,8-14,11-15,14-17,14-17,9-13,22-25
1,Rebounding Sharpshooter,3pt Shooting,Rebounding,"GOLD Catch & Shoot, GOLD Deep Range Deadeye, GOLD Limitless Range, GOLD Corner Specialist, SILVER Tireless Scorer","Silver Difficult Shots, Silver Pick & Popper, Silver Hustle Rebounder, Silver Break Starter, Silver Bruiser, Silver Mid Range Deadeye, Bronze Dimer, Bronze Tear Dropper, Bronze Putback Kin, Bronze Posterizer, Bronze Pick & Roll Maestro, Bronze Flashy Passe, Bronze One Man Fast Break, Bronze Lob City Finisher, Bronze Lob City Passer, Bronze Charge Car, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,10-13,4-8,17-19,20-21,8-12,10-13,9-11,14-15,8-13,6-9,13-18,11-14,9-12,9-11,14-18,22-25
1,Shot Creating Sharpshooter,3pt Shooting,Shot Creating,"GOLD Corner Specialist, GOLD Tireless Scorer, GOLD Catch & Shoot, GOLD Deep Range Deadeye, GOLD Limitless Range","Gold Difficult Shots, Gold Mid Range Deadeye, Silver Tear Dropper, Silver Pick & Popper, Bronze Dimer, Bronze Ankle Breaker, Bronze Pick & Roll Maestro, Bronze Flashy Passer, Bronze Acrobat, Bronze Relentless Finisher, Bronze Lob City Passer, Bronze One Man Fast Break, Bronze Up & Under Specialist, Bronze Charge Card, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,11-14,4-8,23-24,23-23,11-16,11-14,9-11,7-9,8-12,6-8,9-15,11-14,11-14,11-13,9-13,22-25
1,Pure Sharpshooter,3pt Shooting,3pt Shooting,"HOF Catch & Shoot, HOF Deep Range Deadeye, HOF Limitless Range, HOF Corner Specialist, GOLD Tireless Scorer","Silver Difficult Shots, Silver Pick & Popper, Silver Mid Range Deadeye, Bronze Dimer, Bronze Tear Dropper, Bronze Pick & Roll Maestro, Bronze Flashy Passer, Bronze Lob City Passer, Bronze Charge Card, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,10-11,2-4,21-23,25-25,9-13,11-14,8-10,7-9,8-12,5-7,8-14,11-14,9-11,9-11,9-13,22-25
2,Shot Creating Slasher,Driving & Finishing,Shot Creating,"HOF Relentless Finisher, HOF Acrobat, HOF One Man Fast Break, GOLD Tear Dropper, GOLD Posterizer","Silver Tireless Scorer, Silver Ankle Breaker, Silver Mid Range Deadeye, Silver Difficult Shots, Silver Lob City Finisher, Silver Putback King, Bronze Chase Down Artist, Bronze Defensive Stopper, Bronze Dimer, Bronze Post Spin Technician, Bronze Up & Under Specialist, Bronze Lob City Passer, Bronze Charge Card, Bronze Flashy Passer, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,23-24,22-23,14-16,7-9,15-17,8-11,8-9,9-12,11-15,9-13,21-23,14-16,21-23,21-23,11-13,22-25
2,Pure Slasher,Driving & Finishing,Driving & Finishing,"HOF Posterizer, HOF Relentless Finisher, HOF Acrobat, HOF One Man Fast Break, GOLD Tear Dropper","Silver Lob City Finisher, Silver Putback King, Silver Ankle Breaker, Bronze Tireless Scorer, Bronze Chase Down Artist, Bronze Defensive Stopper, Bronze Dimer, Bronze Pick Pocket, Bronze Pick & Roller, Bronze Post Spin Technician, Bronze Lob City Passer, Bronze Pick Dodger, Bronze Charge Card, Bronze Flashy Passer, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,25-25,25-25,7-10,5-6,14-17,8-10,7-8,9-13,12-15,9-13,23-25,14-16,22-25,22-25,11-15,22-25
2,Playmaking Slasher,Driving & Finishing,Passing & Ball Handling,"HOF One Man Fast Break, HOF Acrobat, GOLD Relentless Finisher, GOLD Posterizer, GOLD Ankle Breaker","Silver Tear Dropper, Silver Dimer, Silver Lob City Passer, Silver Flashy Passer, Silver Pick & Roll Maestro, Silver Lob City Finisher, Silver Putback King, Silver Tireless Scorer, Bronze Break Starter, Bronze Chase Down Artist, Bronze Defensive Stopper, Bronze Difficult Shots, Bronze Charge Card, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,22-23,21-21,8-11,7-8,18-20,15-16,7-8,9-12,11-14,8-11,20-23,14-16,22-25,22-25,11-14,22-25
2,Playmaking Shot Creator,Shot Creating,Passing & Ball Handling,"HOF Tireless Scorer, HOF Difficult Shots, GOLD Mid Range Deadeye, GOLD Tear Dropper, GOLD Ankle Breaker","Silver Dimer, Silver Acrobat, Silver One Man Fast Break, Silver Lob City Passer, Silver Flashy Passer, Silver Relentless Finisher, Silver Pick & Roll Maestro, Bronze Up & Under Specialist, Bronze Corner Specialist, Bronze Break Starter, Bronze Defensive Stopper, Bronze Post Spin Technician, Bronze Charge Card, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,14-20,11-15,22-23,14-17,20-23,15-18,11-13,9-10,9-14,8-12,13-17,13-15,18-22,19-21,11-14,22-25
